City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Mokhsogollokh,RU,61.4681,128.9203,12.43,92,100,7.76,overcast clouds
305,Putina,PE,-15.4667,-69.4333,45.82,75,71,3.83,broken clouds
306,Martapura,ID,-3.4167,114.85,77.0,100,99,2.3,overcast clouds
307,Maniitsoq,GL,65.4167,-52.9,34.77,80,25,3.36,scattered clouds
308,Ust-Tarka,RU,55.5672,75.705,29.89,97,100,8.21,overcast clouds
309,Lebu,CL,-37.6167,-73.65,60.53,70,0,15.26,clear sky
310,Ponta Delgada,PT,37.7333,-25.6667,66.2,88,40,9.22,scattered clouds
311,Gejiu,CN,23.306,103.1635,53.11,94,66,4.74,broken clouds
312,Lujan,AR,-34.5703,-59.105,70.0,58,87,5.99,overcast clouds
313,Pasighat,IN,28.0667,95.3333,70.9,65,57,6.98,light rain
314,Houston,US,29.7633,-95.3633,82.99,29,1,9.22,clear sky
315,Zagora,MA,30.3484,-5.8365,84.11,14,37,6.4,scattered clouds
316,Atar,MR,20.5169,-13.0499,96.03,11,27,12.35,scattered clouds
317,Barretos,BR,-20.5572,-48.5678,91.56,18,0,0.94,clear sky
318,Darnah,LY,32.767,22.6367,57.18,65,13,6.69,few clouds
319,Muroto,JP,33.2833,134.15,60.93,71,37,15.46,scattered clouds
320,Suleja,NG,9.1758,7.1808,77.0,65,75,17.27,broken clouds
321,Seoul,KR,37.5683,126.9778,57.2,62,0,2.3,clear sky
322,Leh,IN,34.1667,77.5833,31.93,68,100,2.39,light snow
323,Guerrero Negro,MX,27.9769,-114.0611,64.47,64,96,15.17,overcast clouds
324,Salisbury,GB,51.0693,-1.7957,46.4,49,20,6.91,few clouds
325,Lavrentiya,RU,65.5833,-171.0,4.35,62,100,32.93,overcast clouds
326,Waingapu,ID,-9.6567,120.2641,76.73,85,41,3.27,scattered clouds
327,Banjar,ID,-8.19,114.9675,82.4,83,20,2.3,few clouds
328,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.42,51,91,4.5,overcast clouds
329,Alta,NO,69.9689,23.2717,34.0,75,40,19.57,scattered clouds
330,Karratha,AU,-20.7377,116.8463,82.83,75,89,6.93,overcast clouds
331,Neuquen,AR,-38.9516,-68.0591,73.4,35,0,11.5,clear sky
332,Marquette,US,46.5333,-87.6335,46.0,91,100,11.5,overcast clouds
333,Zambezi,ZM,-13.5432,23.1047,65.84,58,2,5.68,clear sky
334,Te Anau,NZ,-45.4167,167.7167,47.89,94,24,1.1,few clouds
335,Shirochanka,RU,46.6497,38.3978,48.61,86,100,11.05,light rain
336,Caruray,PH,10.3094,119.0128,78.8,89,40,4.61,scattered clouds
337,Turukhansk,RU,65.8167,87.9833,25.12,90,100,8.43,overcast clouds
338,Haines Junction,CA,60.7522,-137.5108,-4.0,41,93,1.14,overcast clouds
339,Pentecoste,BR,-3.7928,-39.2703,86.95,61,84,5.48,broken clouds
340,Sovetskiy,RU,61.3614,63.5842,35.51,92,73,8.41,broken clouds
341,Ecully,FR,45.7773,4.7748,50.0,87,90,12.66,light rain
342,Bochnia,PL,49.9691,20.4303,55.0,61,99,11.16,light rain
343,Tezu,IN,27.9167,96.1667,74.25,48,86,5.41,overcast clouds
344,Alta Floresta,BR,-9.8756,-56.0861,89.6,58,75,6.91,broken clouds
345,Phalodi,IN,27.1333,72.3667,85.44,7,0,7.29,clear sky
346,Airai,TL,-8.9266,125.4092,57.85,88,73,1.54,broken clouds
347,Yaan,NG,7.3833,8.5667,88.63,47,94,10.74,light rain
348,Prieska,ZA,-29.6641,22.7474,81.01,24,10,4.65,clear sky
