City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Soure,BR,82.83,light rain,-0.7167,-48.5233,Casarão
90,Springbok,ZA,76.55,clear sky,-29.6643,17.8865,Undulata Country Lodge
91,Cayenne,GF,89.6,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
92,Basco,PH,76.82,broken clouds,20.4487,121.9702,Nathaniel's Lodge
94,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
95,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
98,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
99,Isangel,VU,78.46,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
102,Cabo San Lucas,MX,78.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Bengkulu,ID,75.92,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
108,Bubaque,GW,77.18,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
114,Bima,ID,75.38,few clouds,-8.4667,118.7167,Lambitu Hotel
117,Santa Luzia,BR,82.4,clear sky,-19.7697,-43.8514,Pousada Chao Earth
119,Lamesa,US,82.0,clear sky,32.7376,-101.95100000000001,Shiloh Inn Lamesa
125,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
126,Monrovia,LR,84.2,light rain,6.3005,-10.7969,Sunset Inn
128,Faanui,PF,81.46,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Puerto Cabezas,NI,86.0,broken clouds,14.0351,-83.3888,Cabaña Caribe
138,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
141,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
142,Merauke,ID,77.2,clear sky,-8.4667,140.3333,
151,Le Moule,GP,82.4,overcast clouds,16.3332,-61.3473,Lakaz Hananou
153,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
160,Mitsamiouli,KM,81.81,overcast clouds,-11.3847,43.2844,Foyer ADM
161,Banda Aceh,ID,80.17,broken clouds,5.5577,95.3222,Sulthan Hotel International
162,Lake Havasu City,US,84.0,clear sky,34.4839,-114.3224,Heat Hotel
166,Hays,US,82.99,few clouds,30.0502,-98.0336,Sinya on Lone Man Creek
167,San Patricio,US,86.0,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
168,Kilindoni,TZ,81.52,light rain,-7.9139,39.6668,Bustani B&B
169,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
172,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
173,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
177,Mahibadhoo,MV,83.1,scattered clouds,3.7833,72.9667,Omadhoo Inn
181,Matara,LK,78.89,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
182,Sarankhola,BD,79.38,few clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
197,Hithadhoo,MV,83.68,broken clouds,-0.6,73.0833,Scoop Guest House
204,Auki,SB,76.96,overcast clouds,-8.7676,160.7034,Auki Motel
209,Laguna De Perlas,NI,84.2,scattered clouds,12.3429,-83.6712,Hotel Best View
220,Altos,BR,86.0,broken clouds,-5.0381,-42.46,Pousada Das Aguias
225,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
228,Kloulklubed,PW,78.8,moderate rain,7.0419,134.2556,Storyboard Beach Resort
231,Port Blair,IN,82.47,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
235,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
236,Caravelas,BR,82.65,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
237,Cidreira,BR,88.3,clear sky,-30.1811,-50.2056,Hotel Castelo
240,Bantva,IN,80.71,clear sky,21.4864,70.0689,Rana Bai daga Bai
241,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
