City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Kargasok,RU,2021-04-02 17:57:28,59.0556,80.8572,32.14,97,100,12.55
180,Husyatyn,UA,2021-04-02 17:57:28,49.0726,26.2141,45.0,57,51,6.2
181,Hualmay,PE,2021-04-02 17:54:42,-11.0964,-77.6139,74.12,72,28,9.1
182,Biloela,AU,2021-04-02 17:57:29,-24.4167,150.5,65.5,77,55,15.77
183,Genhe,CN,2021-04-02 17:57:29,50.7833,121.5167,18.14,65,15,13.33
184,Sapa,PH,2021-04-02 17:57:30,5.1544,120.3241,80.37,83,100,10.76
185,Hue,VN,2021-04-02 17:57:30,16.4667,107.6,74.25,90,77,1.77
186,Pitimbu,BR,2021-04-02 17:57:30,-7.4706,-34.8086,87.8,55,0,11.5
187,Tasiilaq,GL,2021-04-02 17:54:04,65.6145,-37.6368,32.0,86,90,8.05
188,Kysyl-Syr,RU,2021-04-02 17:57:31,63.8986,122.7617,-1.88,95,100,9.51
189,Hofn,IS,2021-04-02 17:50:14,64.2539,-15.2082,46.31,71,23,9.55
190,Alihe,CN,2021-04-02 17:54:09,50.5667,123.7167,21.97,56,1,16.17
191,Maragogi,BR,2021-04-02 17:55:43,-9.0122,-35.2225,83.77,58,57,9.55
192,Faanui,PF,2021-04-02 17:53:36,-16.4833,-151.75,81.21,71,0,3.42
193,Leningradskiy,RU,2021-04-02 17:52:06,69.3833,178.4167,-21.48,100,99,2.37
194,Aguimes,ES,2021-04-02 17:57:32,27.9054,-15.4461,70.0,68,20,21.85
195,Cranbrook,CA,2021-04-02 17:54:21,49.4999,-115.7688,53.6,28,40,14.97
196,Port Shepstone,ZA,2021-04-02 17:57:32,-30.7414,30.455,70.9,87,100,23.11
197,Sunyani,GH,2021-04-02 17:57:32,7.3399,-2.3268,91.4,30,65,4.76
198,Stromness,GB,2021-04-02 17:57:33,58.965,-3.296,44.6,70,40,19.57
199,Kalabo,ZM,2021-04-02 17:53:43,-14.97,22.6814,75.83,53,100,4.25
200,Kudahuvadhoo,MV,2021-04-02 17:57:33,2.6708,72.8944,82.96,77,18,14.92
201,Torbay,CA,2021-04-02 17:57:33,47.6666,-52.7314,46.0,81,75,9.22
202,Natal,BR,2021-04-02 17:54:00,-5.795,-35.2094,87.8,58,40,13.8
203,Tocopilla,CL,2021-04-02 17:53:31,-22.092,-70.1979,73.13,66,14,11.72
204,Hinche,HT,2021-04-02 17:57:34,19.15,-72.0167,84.2,65,40,13.8
205,Haines Junction,CA,2021-04-02 17:54:31,60.7522,-137.5108,17.6,57,98,3.44
206,Zhuhai,CN,2021-04-02 17:57:34,22.2769,113.5678,80.01,94,40,1.14
207,Qaanaaq,GL,2021-04-02 17:51:33,77.484,-69.3632,-13.23,71,100,13.71
208,Cayenne,GF,2021-04-02 17:54:42,4.9333,-52.3333,79.0,89,75,4.61
209,Nara,JP,2021-04-02 17:57:35,34.6851,135.8049,60.01,68,9,6.73
210,Nome,US,2021-04-02 17:51:08,64.5011,-165.4064,8.6,78,90,27.63
211,Tarsus,TR,2021-04-02 17:57:35,36.9188,34.8784,53.6,82,40,3.33
212,Port Elizabeth,ZA,2021-04-02 17:53:24,-33.918,25.5701,62.6,77,0,12.66
213,Yakeshi,CN,2021-04-02 17:57:36,49.2833,120.7333,23.74,48,3,21.12
214,Nioaque,BR,2021-04-02 17:57:36,-21.1353,-55.83,93.49,31,70,5.37
215,Jefferson City,US,2021-04-02 17:57:36,38.5767,-92.1735,54.0,28,1,12.66
216,Paamiut,GL,2021-04-02 17:54:05,61.994,-49.6678,28.04,96,100,8.84
217,Hargeysa,SO,2021-04-02 17:57:37,9.56,44.065,69.89,52,3,11.39
218,Castro,BR,2021-04-02 17:50:54,-24.7911,-50.0119,72.73,46,19,1.7
219,Veracruz,MX,2021-04-02 17:53:23,19.3333,-96.6667,78.01,69,90,13.8
220,Kruisfontein,ZA,2021-04-02 17:53:37,-34.0033,24.7314,60.01,88,73,1.99
221,Visnes,NO,2021-04-02 17:57:37,59.3556,5.2242,42.8,65,10,32.21
222,Hay River,CA,2021-04-02 17:56:13,60.8156,-115.7999,5.0,66,70,9.22
223,Faya,SA,2021-04-02 17:53:34,18.3851,42.4509,68.0,63,0,4.61
224,Kavieng,PG,2021-04-02 17:53:07,-2.5744,150.7967,82.2,79,100,8.01
225,Port Blair,IN,2021-04-02 17:54:40,11.6667,92.75,77.5,69,95,5.21
226,Onguday,RU,2021-04-02 17:57:38,50.75,86.15,27.28,67,4,3.44
227,Nizhniy Kuranakh,RU,2021-04-02 17:57:38,58.8353,125.4869,-6.11,98,48,3.44
228,Dire Dawa,ET,2021-04-02 17:57:39,9.5931,41.8661,72.86,23,2,4.03
229,Mabaruma,GY,2021-04-02 17:57:39,8.2,-59.7833,83.84,56,97,6.46
230,Sobolevo,RU,2021-04-02 17:57:39,54.4299,31.8996,37.47,71,68,6.53
231,Durban,ZA,2021-04-02 17:55:49,-29.8579,31.0292,75.2,73,75,19.57
232,Belaya Gora,RU,2021-04-02 17:57:40,68.5333,146.4167,-3.93,99,100,2.55
233,Beya,RU,2021-04-02 17:57:40,53.0533,90.9139,32.36,67,58,9.44
234,Tuatapere,NZ,2021-04-02 17:54:50,-46.1333,167.6833,46.0,86,46,4.0
235,Pyapon,MM,2021-04-02 17:57:41,16.2833,95.6833,81.46,67,100,8.19
236,Nata,PA,2021-04-02 17:55:48,8.3333,-80.5167,86.0,66,75,5.75
237,Pisco,PE,2021-04-02 17:53:36,-13.7,-76.2167,77.0,64,0,9.22
238,Eslamshahr,IR,2021-04-02 17:57:41,35.5605,51.2346,69.8,21,40,9.22
239,Rudsar,IR,2021-04-02 17:57:42,37.1376,50.288,55.4,94,75,4.61
240,Esso,RU,2021-04-02 17:57:42,55.9333,158.7,-1.37,89,29,7.23
241,Sechura,PE,2021-04-02 17:57:42,-5.5569,-80.8222,81.79,56,59,9.75
242,Iracoubo,GF,2021-04-02 17:57:42,5.4802,-53.2011,76.73,90,100,8.48
243,Adrar,MR,2021-04-02 17:50:01,20.5022,-10.0711,97.39,4,31,6.91
244,Nelson,NZ,2021-04-02 17:57:43,-41.2833,173.2833,55.0,85,99,1.01
245,Sao Joao Da Barra,BR,2021-04-02 17:55:28,-21.6403,-41.0511,87.8,45,20,2.3
246,Nalut,LY,2021-04-02 17:57:43,30.3333,10.85,72.91,14,0,3.96
247,Mildura,AU,2021-04-02 17:57:44,-34.2,142.15,64.4,45,0,8.48
248,Yantal,RU,2021-04-02 17:57:44,56.8471,105.2542,29.89,88,100,10.49
249,Cuencame,MX,2021-04-02 17:57:44,24.8711,-103.6964,76.59,26,100,11.77
250,Pevek,RU,2021-04-02 17:50:19,69.7008,170.3133,-20.06,96,12,3.62
251,Bilibino,RU,2021-04-02 17:55:30,68.0546,166.4372,-10.23,89,100,7.23
252,Ponta Do Sol,PT,2021-04-02 17:54:19,32.6667,-17.1,66.2,63,20,11.5
253,Svetlyy,RU,2021-04-02 17:57:45,54.675,20.1347,39.2,93,75,13.42
254,Beloha,MG,2021-04-02 17:54:00,-25.1667,45.05,72.75,75,10,13.15
255,Finschhafen,PG,2021-04-02 17:57:46,-6.6024,147.8681,79.66,81,98,6.82
256,Verkhovyna,UA,2021-04-02 17:57:46,48.1557,24.7911,36.3,91,96,1.21
257,Awbari,LY,2021-04-02 17:57:46,26.5921,12.7805,73.58,15,0,9.4
258,Noumea,NC,2021-04-02 17:57:47,-22.2763,166.4572,78.01,100,75,4.61
259,Tenenkou,ML,2021-04-02 17:57:47,14.4572,-4.9169,98.89,5,1,11.7
260,Alofi,NU,2021-04-02 17:54:28,-19.0595,-169.9187,69.8,100,18,2.3
261,Pechora,RU,2021-04-02 17:57:47,65.1472,57.2244,26.47,95,98,6.62
262,Turukhansk,RU,2021-04-02 17:57:48,65.8167,87.9833,9.28,82,99,14.61
263,Goroka,PG,2021-04-02 17:57:48,-6.0834,145.3873,61.56,98,100,0.96
264,Sinnamary,GF,2021-04-02 17:57:48,5.3833,-52.95,76.69,90,100,9.33
265,Petropavlovsk-Kamchatskiy,RU,2021-04-02 17:55:55,53.0452,158.6483,28.4,54,73,11.18
266,Tura,IN,2021-04-02 17:55:31,25.5198,90.2201,71.64,28,0,5.12
267,Northam,GB,2021-04-02 17:57:49,51.0333,-4.2167,52.0,63,1,5.01
268,Kahului,US,2021-04-02 17:53:50,20.8947,-156.47,69.8,94,40,10.36
269,Sai Buri,TH,2021-04-02 17:57:49,6.7013,101.6168,77.2,85,67,6.51
270,Dingle,PH,2021-04-02 17:57:49,10.9995,122.6711,75.4,89,100,6.85
271,Merauke,ID,2021-04-02 17:57:50,-8.4667,140.3333,76.23,92,99,5.77
272,Biltine,TD,2021-04-02 17:57:50,14.5333,20.9167,86.34,11,10,11.23
273,Marathon,US,2021-04-02 17:57:51,44.9,-89.7668,48.0,25,1,11.5
274,Benemerito De Las Americas,MX,2021-04-02 17:57:51,16.5167,-90.6439,80.22,66,79,3.09
275,Tanout,NE,2021-04-02 17:57:51,14.9709,8.8879,80.29,8,11,11.52
276,Sabang,ID,2021-04-02 17:57:52,5.8933,95.3214,82.6,76,99,16.62
277,Grand Forks,US,2021-04-02 17:57:52,47.9417,-97.4337,55.99,35,20,21.85
278,Muros,ES,2021-04-02 17:57:52,42.7762,-9.0603,61.0,85,97,8.81
279,Lahij,YE,2021-04-02 17:53:54,13.1667,44.5833,79.25,37,2,2.95
280,Sault Sainte Marie,CA,2021-04-02 17:57:28,46.5168,-84.3333,37.4,30,1,3.44
281,Aklavik,CA,2021-04-02 17:53:21,68.2191,-135.0107,-16.6,76,100,2.3
282,San-Pedro,CI,2021-04-02 17:57:53,4.7485,-6.6363,81.41,79,45,7.67
283,Coffeyville,US,2021-04-02 17:57:53,37.0373,-95.6164,62.6,29,1,19.57
284,Jacqueville,CI,2021-04-02 17:54:57,5.2052,-4.4146,86.0,79,20,10.36
285,Husavik,IS,2021-04-02 17:55:31,66.0449,-17.3389,50.0,40,0,21.85
286,Marsh Harbour,BS,2021-04-02 17:54:03,26.5412,-77.0636,68.29,65,100,25.61
287,Kaitangata,NZ,2021-04-02 17:54:54,-46.2817,169.8464,40.86,91,44,5.5
288,Aksu,CN,2021-04-02 17:57:54,41.1231,80.2644,43.97,63,100,7.36
289,Bulgan,MN,2021-04-02 17:54:03,48.8125,103.5347,28.15,34,1,0.98
290,Buala,SB,2021-04-02 17:57:54,-8.145,159.5921,79.79,81,62,3.56
291,Russell,US,2021-04-02 17:57:55,32.3502,-85.1999,54.0,30,1,8.05
292,Glazov,RU,2021-04-02 17:57:55,58.1394,52.6584,32.59,99,100,6.42
293,Shubarkuduk,KZ,2021-04-02 17:57:56,49.1447,56.4872,35.89,82,97,17.27
